Applicant_ID,Applicant_Income,Coapplicant_Income,Employment_Status,Age,Marital_Status,Dependents,Credit_Score,Existing_Loans,DTI_Ratio,Savings,Collateral_Value,Loan_Amount,Loan_Term,Loan_Purpose,Property_Area,Education_Level,Gender,Employer_Category,Loan_Approved
APP100000,8000,0,Salaried,32,Married,2.0,676.0,0,6.4,10400.0,137000.0,126000,240,Home,Semi-Urban,Graduate,Male,Private,1
APP100001,8000,3000,Business,35,Married,1.0,,0,90.0,28500.0,261000.0,313000,12,Home,Semi-Urban,Postgraduate,Male,Govt,0
APP100002,9500,0,Self-Employed,36,Married,1.0,765.0,0,10.5,12100.0,0.0,244000,240,Personal,Rural,Postgraduate,Female,Private,1
APP100003,8000,0,Self-Employed,36,Single,3.0,718.0,0,15.5,10600.0,0.0,54000,36,Business,Urban,Graduate,Male,Private,0
APP100004,8000,0,Salaried,31,Married,2.0,723.0,0,5.0,1100.0,0.0,50000,240,Personal,Semi-Urban,Graduate,Female,Private,0
APP100005,8000,0,Salaried,30,Single,1.0,658.0,0,7.4,20400.0,70000.0,61000,120,Home,Semi-Urban,Graduate,Male,Private,1
APP100006,8000,3000,Salaried,35,Married,0.0,704.0,0,5.8,5400.0,254000.0,227000,360,Home,Rural,Graduate,Female,Self,1
APP100007,8000,3100,Business,21,Single,2.0,892.0,1,7.7,13800.0,361000.0,284000,360,Home,Semi-Urban,Postgraduate,Female,Govt,1
APP100008,8000,6700,Self-Employed,21,Single,2.0,788.0,0,17.0,20300.0,332000.0,270000,120,Home,Semi-Urban,Postgraduate,Male,Private,1
APP100009,8000,0,Self-Employed,38,Single,0.0,696.0,2,10.3,9800.0,147000.0,151000,180,Home,Urban,Graduate,Male,Private,1
APP100010,8000,0,Salaried,39,Single,0.0,729.0,2,5.9,1100.0,20000.0,94000,180,Business,Semi-Urban,Graduate,Male,Private,1
APP100011,8000,0,Business,46,Single,0.0,670.0,2,32.4,33400.0,53000.0,136000,60,Personal,Rural,Graduate,Female,Govt,0
APP100012,8000,0,Business,35,Single,0.0,678.0,1,5.0,49300.0,11000.0,97000,360,Personal,Rural,Undergraduate,Male,Govt,1
APP100013,8000,3000,Salaried,26,Married,1.0,765.0,0,12.0,18300.0,153000.0,138000,120,Home,Semi-Urban,Graduate,Male,Private,1
APP100014,8000,0,Salaried,21,Married,0.0,626.0,0,29.0,3900.0,114000.0,123000,60,Home,Urban,Undergraduate,Male,Private,0
APP100015,8000,3000,Salaried,29,Married,3.0,660.0,1,5.0,27700.0,17000.0,79000,240,Personal,Rural,Undergraduate,Male,Self,1
APP100016,8000,0,Salaried,42,Married,2.0,548.0,1,46.5,6100.0,74000.0,231000,60,Business,Urban,Postgraduate,Male,Private,0
APP100017,8000,3000,Salaried,52,Married,0.0,741.0,1,68.0,7600.0,74000.0,307000,36,Personal,Urban,Postgraduate,Male,Self,0
APP100018,8000,3000,Salaried,38,Married,0.0,768.0,1,12.0,26800.0,145000.0,276000,180,Business,Semi-Urban,Graduate,Male,Private,1
APP100019,8000,0,Salaried,25,Married,0.0,710.0,3,9.1,15500.0,51000.0,157000,240,Business,Urban,Postgraduate,Female,Private,1
APP100020,8000,3000,Self-Employed,29,Married,0.0,634.0,3,14.1,800.0,320000.0,281000,180,Home,Rural,Graduate,Female,Private,0
APP100021,8000,0,Salaried,29,Married,0.0,660.0,2,10.2,10000.0,290000.0,235000,240,Home,Semi-Urban,Undergraduate,Male,Private,1
APP100022,8000,0,Salaried,33,Single,1.0,693.0,0,34.1,26500.0,45000.0,102000,36,Personal,Semi-Urban,Graduate,Female,Private,1
APP100023,8000,3000,Salaried,49,Married,3.0,746.0,4,9.8,2100.0,73000.0,162000,180,Education,Semi-Urban,Undergraduate,Female,Private,0
APP100024,8000,3000,Salaried,49,Single,3.0,765.0,1,17.3,21500.0,226000.0,258000,120,Home,Rural,Graduate,Female,Private,1
APP100025,8000,3000,Self-Employed,36,Married,2.0,542.0,1,5.7,1500.0,123000.0,236000,360,Education,Semi-Urban,Undergraduate,Male,Private,0
APP100026,8000,3000,Salaried,39,Single,1.0,,0,90.0,6500.0,121000.0,284000,12,Education,Urban,Graduate,Male,Govt,0
APP100027,8000,3000,Salaried,30,Single,2.0,711.0,1,21.1,13900.0,5000.0,158000,60,Business,Rural,Postgraduate,Male,Govt,1
APP100028,8000,0,Self-Employed,21,Single,1.0,551.0,1,5.0,6300.0,105000.0,108000,360,Home,Urban,Graduate,Female,Private,0
APP100029,8000,3000,Salaried,55,Single,0.0,762.0,0,5.9,26300.0,249000.0,221000,360,Home,Urban,Graduate,Male,Govt,1
APP100030,8000,0,Self-Employed,21,Married,1.0,655.0,0,5.0,2000.0,6000.0,76000,360,Personal,Semi-Urban,Postgraduate,Male,Self,1
